,TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
130,1166.0785,1166.4529,1146.1727,1150.772,1181.0695,1186.244
131,1148.1741,1148.4293,1127.7329,1133.2712,1163.2883,1168.3655
132,1146.9849,1147.0421,1128.1459,1132.452,1160.9797,1166.2719
133,1134.9368,1134.7476,1116.5967,1119.9872,1150.5199,1155.3448
134,1158.3059,1158.1482,1138.3911,1143.0061,1173.7731,1177.836
135,1174.9812,1174.8491,1155.5352,1161.16,1189.1445,1194.4453
136,1230.733,1230.6846,1210.3738,1215.9644,1245.0089,1250.5654
137,1223.4319,1223.8516,1203.4229,1209.0916,1237.4185,1241.298
138,1263.7686,1263.9055,1241.2279,1245.9707,1281.1329,1286.2775
139,1243.8027,1243.3828,1220.5833,1225.8685,1261.3677,1267.0009
140,1242.3562,1242.5823,1221.0099,1226.3975,1258.3342,1262.5363
141,1207.1741,1207.1414,1188.0981,1193.1815,1221.727,1226.0358
142,1195.2166,1195.0481,1175.8893,1179.1947,1210.4066,1215.4467
143,1189.3657,1189.4597,1171.0952,1175.3142,1203.2241,1207.4901
144,1179.9962,1180.54,1156.5042,1161.3832,1197.2047,1202.3071
145,1156.0629,1155.7891,1137.2172,1140.8829,1171.3087,1175.9491
146,1165.0074,1164.6003,1145.6335,1150.6824,1179.9791,1183.7145
147,1160.9637,1161.0646,1141.6554,1146.4097,1175.3977,1178.705
148,1196.504,1196.7241,1175.7395,1180.9706,1211.37,1216.0155
149,1212.0618,1211.683,1192.9392,1197.0471,1227.409,1232.4694
150,1233.5658,1233.8245,1212.5332,1217.6716,1248.7345,1254.3405
151,1248.9181,1248.7292,1227.2812,1232.5131,1266.503,1273.187
152,1222.3129,1221.9858,1203.8684,1207.8851,1236.949,1240.9255
153,1291.3529,1291.4014,1266.962,1273.0859,1309.9745,1315.9042
154,1284.5834,1284.3783,1262.4746,1267.1064,1301.734,1306.5505
155,1255.1171,1254.652,1227.6139,1234.7408,1276.0264,1283.1414
156,1246.1741,1246.2083,1226.8706,1231.282,1260.7648,1265.1178
157,1260.5867,1260.6727,1235.2595,1241.9811,1279.7434,1284.2609
158,1234.7588,1235.0662,1215.6528,1220.9734,1249.2568,1253.1313
159,1260.2484,1260.3657,1236.7415,1241.4974,1279.1787,1284.4012
160,1286.0349,1286.0076,1262.7092,1267.6852,1303.2292,1308.4636
161,1280.0968,1279.892,1259.7384,1265.3741,1295.7048,1299.8616
162,1300.479,1301.7844,1244.6984,1260.265,1338.5358,1350.6223
163,1280.817,1280.6785,1258.7695,1264.3435,1296.2684,1301.3295
164,1234.8407,1235.002,1188.9656,1200.9735,1268.7286,1276.5604
165,1243.1361,1242.9834,1224.6014,1228.4418,1257.6106,1262.889
166,1245.7448,1245.8425,1224.8478,1230.08,1261.349,1266.2428
167,1232.7141,1233.2405,1214.0374,1218.268,1246.7284,1251.6652
168,11292.817,11291.989,11134.088,11174.979,11412.145,11446.976
169,11206.293,11205.478,10889.487,10971.679,11453.256,11519.991
170,11041.864,11039.774,10674.851,10735.27,11325.35,11425.795
171,10935.161,10932.688,10688.272,10731.243,11132.192,11202.069
172,10798.568,10805.346,10575.158,10622.138,10957.163,11016.92
173,10788.681,10789.721,10571.447,10622.832,10946.871,10989.834
174,10892.649,10891.723,10718.445,10760.513,11021.132,11060.986
175,10926.41,10922.997,10713.064,10772.495,11081.936,11134.685
176,10914.976,10916.441,10753.795,10786.9375,11037.276,11071.45
177,11084.5,11080.948,10920.129,10964.662,11208.826,11255.421
178,11167.066,11166.301,11007.102,11039.269,11295.079,11335.608
179,11058.892,11059.32,10898.119,10934.298,11175.861,11221.888
180,11187.996,11184.595,11047.687,11073.254,11302.486,11349.838
181,11686.368,11686.057,11517.602,11555.612,11823.636,11868.895
182,11874.816,11872.227,11682.99,11735.044,12015.643,12066.855
183,11537.419,11537.573,11381.242,11410.491,11670.219,11704.261
184,11939.132,11939.467,11729.797,11785.064,12093.287,12150.149
185,12044.664,12044.168,11850.575,11900.667,12192.752,12236.04
186,12187.762,12184.008,11955.868,12016.447,12364.03,12424.961
187,12084.112,12090.7705,11858.507,11911.852,12250.668,12301.421
188,11604.95,11604.51,11439.285,11473.98,11732.041,11779.286
189,11939.385,11939.183,11691.98,11735.882,12140.017,12208.469
190,11463.176,11458.721,11309.005,11342.217,11598.082,11632.38
191,11785.989,11792.389,11511.199,11573.454,11983.593,12064.509
192,11724.606,11720.514,11119.248,11281.823,12180.337,12341.623
193,11053.229,11037.748,10013.6875,10285.71,11830.562,12179.341
194,11049.603,11054.945,10856.259,10904.431,11197.256,11239.462
195,10947.333,10947.014,9672.056,10049.878,11836.731,12162.445
196,10859.824,10859.0625,10681.561,10730.124,10990.836,11030.157
197,10860.55,10862.249,10373.031,10480.016,11226.798,11375.16
198,11223.606,11219.326,10265.23,10561.954,11879.22,12146.508
199,11134.301,11134.393,10963.009,11005.754,11251.603,11287.248
200,11469.187,11472.475,11277.094,11335.66,11604.1875,11642.291
201,11511.29,11514.011,11334.115,11381.79,11638.191,11668.667
202,11736.55,11742.668,11262.402,11374.698,12074.419,12226.22
203,12029.952,12034.641,11144.273,11396.399,12649.342,12861.844
204,11574.674,11579.451,10601.156,10863.827,12250.49,12536.38
205,11328.632,11342.098,10569.963,10774.778,11872.526,12084.128
206,11313.082,11305.996,10690.748,10863.916,11787.039,11939.862
207,11410.29,11450.889,10469.151,10735.639,12020.643,12320.609
208,11770.11,11754.442,10863.394,11133.201,12403.019,12637.049
209,12058.116,12065.561,11476.862,11654.899,12467.286,12600.794
210,11921.423,11918.964,11739.395,11797.701,12053.313,12091.038
211,12317.022,12358.828,10329.323,10879.767,13577.502,14116.378
212,11964.521,12032.804,9168.6045,9976.417,13956.144,14524.501
213,12134.039,12146.349,10150.852,10647.74,13525.481,14209.99
214,11912.773,11916.449,11709.471,11760.181,12064.634,12109.903
215,11908.122,11909.326,11698.189,11752.5205,12067.225,12111.386
216,10512.539,10516.8125,10357.174,10391.965,10632.375,10664.948
217,10512.24,10511.235,10357.939,10389.781,10636.409,10674.935
218,10388.812,10388.916,10227.557,10269.737,10510.234,10548.275
219,10272.578,10272.797,10122.448,10155.341,10395.23,10424.232
220,10497.225,10497.902,10351.529,10381.321,10616.4,10650.84
221,10735.996,10735.664,10580.256,10614.647,10851.39,10892.582
222,11013.1,11012.695,10860.284,10893.035,11133.981,11171.225
223,11317.05,11317.296,11156.861,11204.511,11437.725,11473.534
224,11516.863,11517.808,11362.4,11400.429,11637.497,11674.571
225,11266.847,11263.265,11114.419,11159.014,11383.797,11420.004
226,11258.555,11255.605,11109.315,11141.302,11383.14,11428.588
227,11099.0,11098.43,10938.926,10978.525,11228.042,11261.269
228,11094.012,11092.092,10926.949,10973.264,11213.631,11260.321
229,10979.008,10978.225,10825.678,10862.2,11105.099,11131.481
230,10835.038,10837.57,10676.223,10709.293,10958.239,10998.342
231,10987.824,10987.628,10835.208,10866.829,11109.39,11144.405
232,11148.578,11149.86,10991.167,11026.903,11265.934,11299.774
233,11460.516,11463.208,11299.634,11333.297,11584.087,11620.4795
234,11467.19,11466.064,11319.04,11351.949,11591.052,11624.005
235,11157.449,11157.284,10986.693,11029.102,11281.562,11313.834
236,11079.243,11080.6875,10923.86,10961.802,11190.258,11228.647
237,11045.834,11046.287,10891.069,10930.198,11162.3125,11207.076
238,11058.658,11063.367,10894.068,10935.509,11176.26,11209.546
239,10791.614,10792.514,10631.997,10671.367,10909.423,10936.8545
240,10855.52,10857.61,10689.675,10730.746,10984.815,11016.01
241,10884.836,10887.306,10735.568,10766.22,10998.066,11032.289
242,10805.016,10802.531,10639.347,10685.211,10926.9,10975.638
243,10730.353,10731.893,10570.199,10611.409,10845.738,10883.446
244,10759.491,10759.394,10599.034,10639.055,10880.718,10912.894
245,10948.283,10948.59,10798.956,10826.621,11068.989,11110.151
246,11154.2,11150.818,11002.8125,11032.693,11273.64,11316.771
247,11403.263,11404.594,11242.805,11280.374,11523.282,11561.216
248,11509.863,11511.486,11361.198,11390.829,11626.354,11673.375
249,11347.924,11342.564,11190.01,11226.446,11470.901,11505.937
250,11101.894,11100.447,10939.263,10974.637,11225.596,11274.869
251,11222.837,11222.538,11068.285,11103.923,11350.907,11381.522
252,11201.24,11200.45,11048.099,11077.457,11318.503,11357.371
253,11179.005,11178.134,11020.869,11059.345,11301.415,11334.197
254,11137.884,11137.498,10976.001,11012.366,11259.661,11287.327
255,11198.458,11196.885,11041.891,11075.917,11313.687,11357.5205
256,11354.048,11357.465,11190.944,11234.872,11479.176,11512.255
257,11523.207,11525.214,11364.485,11396.958,11647.752,11683.869
